campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
JUVENILE DETENT CTR,7,100,7,100,0,0,0,0,'06 - 11,3903201
HUNTINGTON H S,515,100,238,46.200001,2,0.40000001,42,8.1999998,'09 - 12,3904001
PRIDE ALTER SCH,15,100,10,66.699997,0,0,2,13.3,'10 - 12,3904005
HUNTINGTON MIDDLE,397,100,228,57.400002,3,0.80000001,66,16.6,'06 - 08,3904041
HUNTINGTON EL,119,24.4,304,62.299999,5,1,42,8.6000004,'EE - 03,3904101
HUNTINGTON INT,244,100,149,61.099998,8,3.3,32,13.1,'04 - 05,3904102
DIBOLL H S,499,100,353,70.699997,27,5.4000001,61,12.2,'09 - 12,3905001
STUBBLEFIELD LRN CTR,6,100,0,0,0,0,2,33.299999,'11 - 12,3905004
DIBOLL J H,429,100,320,74.599998,83,19.299999,45,10.5,'06 - 08,3905041
H G TEMPLE EL,0,0,322,84.300003,67,17.5,32,8.3999996,'KG - 02,3905101
DIBOLL PRI,0,0,163,98.800003,27,16.4,14,8.5,'PK - PK,3905102
H G TEMPLE INT,389,100,317,81.5,98,25.200001,38,9.8000002,'03 - 05,3905103
ZAVALLA H S,190,100,120,63.200001,0,0,27,14.2,'06 - 12,3906001
ZAVALLA EL,80,47.099998,123,72.400002,0,0,20,11.8,'PK - 05,3906101
CENTRAL H S,403,100,198,49.099998,5,1.2,64,15.9,'09 - 12,3907001
STUBBLEFIELD LRN CTR,1,100,0,0,0,0,1,100,'12 - 12,3907004
CENTRAL J H,421,100,238,56.5,9,2.0999999,61,14.5,'05 - 08,3907041
CENTRAL EL,223,34.799999,429,67,38,5.9000001,75,11.7,'EE - 04,3907102
ROCKPORT-FULTON H S,858,100,481,56.099998,23,2.7,70,8.1999998,'09 - 12,4901001
ROCKPORT-FULTON MIDDLE,648,100,459,70.800003,32,4.9000001,73,11.3,'06 - 08,4901041
FULTON LEARNING CENTER,649,100,462,71.199997,42,6.5,80,12.3,'03 - 05,4901101
DISCOVERY LEARNING CENTER,0,0,71,87.699997,6,7.4000001,4,4.9000001,'EE - PK,4901102
LIVE OAK LEARNING CENTER,0,0,426,72.199997,39,6.5999999,59,10,'KG - 02,4901103
ARCHER CITY H S,231,100,102,44.200001,1,0.40000001,36,15.6,'07 - 12,5901001
ARCHER CITY EL,140,51.099998,168,61.299999,7,2.5999999,32,11.7,'PK - 06,5901101
HOLLIDAY H S,319,100,42,13.2,0,0,20,6.3000002,'09 - 12,5902001
HOLLIDAY MIDDLE,249,100,48,19.299999,0,0,21,8.3999996,'06 - 08,5902041
HOLLIDAY EL,233,48.700001,129,27,3,0.60000002,54,11.3,'EE - 05,5902101
WINDTHORST H S,135,100,49,36.299999,3,2.2,12,8.8999996,'09 - 12,5904001
WINDTHORST JH,92,100,37,40.200001,2,2.2,7,7.5999999,'06 - 08,5904041
WINDTHORST EL,82,46.599998,75,42.599998,22,12.5,15,8.5,'PK - 05,5904101
CLAUDE H S,140,100,45,32.099998,2,1.4,16,11.4,'07 - 12,6902001
CLAUDE EL,111,50.900002,101,46.299999,2,0.89999998,22,10.1,'PK - 06,6902101
CHARLOTTE H S,145,100,107,73.800003,3,2.0999999,19,13.1,'09 - 12,7901001
DISTRICT REASSIGNMENT & OPPORTUNIT,1,100,1,100,0,0,0,0,'07 - 07,7901003
CHARLOTTE MIDDLE,127,100,89,70.099998,9,7.0999999,23,18.1,'05 - 08,7901041
CHARLOTTE EL,68,34.700001,150,76.5,13,6.5999999,20,10.2,'EE - 04,7901101
JOURDANTON H S,417,100,201,48.200001,6,1.4,36,8.6000004,'09 - 12,7902001
ATASCOSA COUNTY JUVENILE JUSTICE C,6,100,2,33.299999,0,0,1,16.700001,'08 - 12,7902005
JOURDANTON DAEP,6,100,4,66.699997,0,0,2,33.299999,'05 - 11,7902006
JOURDANTON J H,354,100,173,48.900002,9,2.5,37,10.5,'06 - 08,7902041
JOURDANTON EL,363,44.099998,487,59.200001,23,2.8,86,10.4,'EE - 05,7902101
LYTLE H S,459,100,325,70.800003,52,11.3,32,7,'09 - 12,7904001
LYTLE DAEP,4,100,2,50,0,0,0,0,'06 - 12,7904002
JJAEP,3,100,2,66.699997,0,0,0,0,'09 - 12,7904003
LYTLE J H,399,100,297,74.400002,43,10.8,28,7,'06 - 08,7904041
LYTLE EL,375,76.400002,355,72.300003,69,14.1,37,7.5,'02 - 05,7904101
LYTLE PRIMARY SCHOOL,0,0,297,80.699997,45,12.2,39,10.6,'PK - 01,7904103
PLEASANTON H S,1031,100,576,55.900002,20,1.9,84,8.1000004,'09 - 12,7905001
ATASCOSA CO ALTER,1,100,1,100,0,0,0,0,'09 - 09,7905004
PLEASANTON ISD SCHOOL OF CHOICE,5,100,4,80,0,0,1,20,'11 - 12,7905005
PLEASANTON J H,794,100,489,61.599998,29,3.7,89,11.2,'06 - 08,7905041
PLEASANTON EL,806,74.400002,695,64.199997,52,4.8000002,112,10.3,'02 - 05,7905103
PLEASANTON PRI,0,0,441,68.800003,28,4.4000001,69,10.8,'EE - 01,7905105
POTEET H S,480,100,331,69,12,2.5,52,10.8,'09 - 12,7906001
ATASCOSA CO JUVENILE UNIT,3,100,3,100,0,0,1,33.299999,'07 - 11,7906003
POTEET J H,382,100,302,79.099998,18,4.6999998,37,9.6999998,'06 - 08,7906041
POTEET EL,137,23.700001,501,86.800003,48,8.3000002,35,6.0999999,'EE - 03,7906101
POTEET INT,253,100,209,82.599998,18,7.0999999,23,9.1000004,'04 - 05,7906102
BELLVILLE H S,714,100,313,43.799999,34,4.8000002,55,7.6999998,'09 - 12,8901001
BELLVILLE J H,518,100,255,49.200001,36,6.9000001,56,10.8,'06 - 08,8901041
O'BRYANT PRI,147,26.9,316,57.900002,74,13.6,59,10.8,'EE - 03,8901101
O'BRYANT INT,295,100,164,55.599998,35,11.9,37,12.5,'04 - 05,8901102
WEST END EL,74,50,52,35.099998,8,5.4000001,9,6.0999999,'KG - 05,8901105
SEALY H S,804,100,436,54.200001,78,9.6999998,70,8.6999998,'09 - 12,8902001
