campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
SMITHVILLE EL,387,100,235,60.700001,43,11.1,31,8,'03 - 05,11904101
BROWN PRI,0,0,297,67.199997,35,7.9000001,47,10.6,'EE - 02,11904102
MCDADE H S,147,100,86,58.5,13,8.8000002,13,8.8000002,'06 - 12,11905001
MCDADE EL,102,43.400002,147,62.599998,47,20,23,9.8000002,'PK - 05,11905101
SEYMOUR H S,152,100,77,50.700001,0,0,18,11.8,'09 - 12,12901001
SEYMOUR MIDDLE,176,100,97,55.099998,0,0,19,10.8,'05 - 08,12901042
SEYMOUR EL,89,35,164,64.599998,1,0.40000001,37,14.6,'PK - 04,12901101
ST MARY'S ACADEMY CHARTER SCHOOL,227,52.799999,355,82.599998,7,1.6,35,8.1000004,'KG - 06,13801101
A C JONES H S,984,100,786,79.900002,21,2.0999999,100,10.2,'09 - 12,13901001
A C JONES HEALTH PROFESSIONS MAGNE,41,100,41,100,0,0,0,0,'09 - 10,13901004
MORENO J H,701,100,605,86.300003,19,2.7,74,10.6,'06 - 08,13901041
THE JOE BARNHART ACADEMY,112,100,66,58.900002,0,0,2,1.8,'06 - 08,13901042
R A HALL EL,317,61.400002,439,85.099998,16,3.0999999,50,9.6999998,'01 - 05,13901101
FADDEN-MCKEOWN-CHAMBLISS EL,359,62,517,89.300003,14,2.4000001,56,9.6999998,'01 - 05,13901102
HAMPTON-MORENO-DUGAT EARLY CHILDHO,0,0,339,91.099998,9,2.4000001,56,15.1,'EE - KG,13901105
PAWNEE EL / J H,71,22.299999,270,84.900002,6,1.9,15,4.6999998,'PK - 08,13902101
PETTUS SECONDARY,230,100,164,71.300003,1,0.40000001,21,9.1000004,'06 - 12,13903001
PETTUS EL,87,46.5,148,79.099998,1,0.5,23,12.3,'PK - 05,13903101
SKIDMORE-TYNAN H S,273,100,164,60.099998,2,0.69999999,34,12.5,'09 - 12,13905001
SKIDMORE-TYNAN J H,194,100,123,63.400002,2,1,16,8.1999998,'06 - 08,13905041
SKIDMORE-TYNAN EL,191,53.200001,246,68.5,10,2.8,38,10.6,'EE - 05,13905101
RICHARD MILBURN ALTER H S (KILLEEN,232,100,165,71.099998,8,3.4000001,41,17.700001,'09 - 12,14801001
RICHARD MILBURN ACADEMY ODESSA,477,100,207,43.400002,23,4.8000002,26,5.5,'09 - 12,14801002
RICHARD MILBURN ACADEMY LUBBOCK,130,100,115,88.5,1,0.80000001,20,15.4,'09 - 12,14801004
RICHARD MILBURN ACADEMY HOUSTON (S,211,100,132,62.599998,31,14.7,12,5.6999998,'09 - 12,14801005
RICHARD MILBURN ACADEMY FORT WORTH,173,100,146,84.400002,15,8.6999998,27,15.6,'09 - 12,14801006
RICHARD MILBURN ACADEMY CORPUS CHR,277,100,211,76.199997,4,1.4,28,10.1,'09 - 12,14801007
RICHARD MILBURN ACADEMY AMARILLO,156,100,123,78.800003,1,0.60000002,23,14.7,'09 - 12,14801008
RICHARD MILBURN ACADEMY PASADENA,158,100,144,91.099998,19,12,18,11.4,'09 - 12,14801009
RICHARD MILBURN ACADEMY MIDLAND SO,135,100,88,65.199997,8,5.9000001,9,6.6999998,'09 - 12,14801010
GEORGETOWN CHARTER ACADEMY,41,53.200001,39,50.599998,3,3.9000001,7,9.1000004,'PK - 08,14803002
COVE CHARTER ACADEMY,150,63.599998,147,62.299999,9,3.8,34,14.4,'PK - 12,14803003
CEDAR PARK CHARTER ACADEMY,128,67.400002,65,34.200001,11,5.8000002,28,14.7,'PK - 12,14803004
TEMPLE CHARTER ACADEMY,168,58.700001,204,71.300003,17,5.9000001,28,9.8000002,'PK - 12,14803101
NEW HORIZONS,64,95.5,67,100,2,3,35,52.200001,'02 - 10,14804002
GATEWAY TECH H S,74,100,12,16.200001,0,0,9,12.2,'09 - 12,14804005
GATEWAY COLLEGE PREPARATORY SCHOOL,995,76.5,73,5.5999999,16,1.2,68,5.1999998,'KG - 12,14804006
NOLAN CREEK SCHOOL,51,45.099998,27,23.9,4,3.5,11,9.6999998,'KG - 06,14804007
KINGSLAND SCHOOL,115,69.699997,85,51.5,0,0,42,25.5,'KG - 08,14804008
ACADEMY H S,450,100,158,35.099998,6,1.3,57,12.7,'09 - 12,14901001
ACADEMY J H,379,100,176,46.400002,18,4.6999998,26,6.9000001,'06 - 08,14901041
ACADEMY INT,396,100,184,46.5,28,7.0999999,35,8.8000002,'03 - 05,14901101
ACADEMY EL,0,0,213,51.200001,28,6.6999998,31,7.5,'EE - 02,14901102
BARTLETT SCHOOLS,245,71.599998,287,83.900002,55,16.1,30,8.8000002,'PK - 12,14902001
BELTON H S,2923,100,1278,43.700001,162,5.5,398,13.6,'09 - 12,14903001
BELTON NEW TECH H S AT WASKOW,521,100,128,24.6,2,0.40000001,19,3.5999999,'09 - 12,14903005
LAKE BELTON MIDDLE,916,100,452,49.299999,38,4.0999999,130,14.2,'06 - 08,14903043
SOUTH BELTON MIDDLE,879,100,467,53.099998,80,9.1000004,112,12.7,'06 - 08,14903044
NORTH BELTON MIDDLE,1031,100,356,34.5,21,2,131,12.7,'06 - 08,14903045
LEON HEIGHTS EL,132,51.200001,131,50.799999,2,0.80000001,21,8.1000004,'KG - 05,14903102
MILLER HEIGHTS EL,159,49.799999,263,82.400002,12,3.8,54,16.9,'KG - 05,14903103
SOUTHWEST EL,183,45.5,355,88.300003,118,29.4,38,9.5,'KG - 05,14903104
LAKEWOOD EL,368,52.099998,169,23.9,3,0.40000001,93,13.2,'KG - 05,14903108
SPARTA EL,298,52.700001,184,32.5,83,14.7,66,11.7,'KG - 05,14903109
JOE M PIRTLE EL,399,50.900002,266,33.900002,22,2.8,83,10.6,'KG - 05,14903111
TARVER EL,351,52.700001,263,39.5,20,3,87,13.1,'KG - 05,14903116
HIGH POINT EL,352,52.700001,281,42.099998,18,2.7,101,15.1,'KG - 05,14903117
CHISHOLM TRAIL EL,392,49.400002,492,62,113,14.2,95,12,'KG - 05,14903118
BELTON EARLY CHILDHOOD SCHOOL,0,0,317,74.099998,65,15.2,69,16.1,'EE - PK,14903119
HOLLAND H S,210,100,91,43.299999,2,1,16,7.5999999,'09 - 12,14905001
HOLLAND MIDDLE,147,100,71,48.299999,6,4.0999999,17,11.6,'06 - 08,14905041
HOLLAND EL,132,44.099998,159,53.200001,11,3.7,23,7.6999998,'EE - 05,14905101
KILLEEN H S,2296,100,1318,57.400002,232,10.1,382,16.6,'09 - 12,14906001
C E ELLISON H S,2637,100,1195,45.299999,168,6.4000001,370,14,'09 - 12,14906002
GATEWAY H S,116,100,76,65.5,4,3.4000001,24,20.700001,'09 - 12,14906004
PATHWAYS ACADEMIC CAMPUS,353,100,220,62.299999,24,6.8000002,28,7.9000001,'09 - 12,14906006
HARKER HEIGHTS H S,2517,100,794,31.5,112,4.4000001,295,11.7,'09 - 12,14906007
ROBERT M SHOEMAKER H S,2169,100,1207,55.599998,212,9.8000002,363,16.700001,'09 - 12,14906008
GATEWAY MIDDLE,50,100,34,68,1,2,8,16,'06 - 08,14906009
KILLEEN ISD EARLY COLLEGE H S,1023,100,427,41.700001,23,2.2,31,3,'09 - 12,14906013
METROPLEX SCHOOL,13,92.900002,8,57.099998,0,0,4,28.6,'KG - 12,14906022
KILLEEN JJAEP,1,100,0,0,0,0,0,0,'11 - 11,14906026
NOLAN MIDDLE,758,100,635,83.800003,178,23.5,138,18.200001,'06 - 08,14906042
RANCIER MIDDLE,706,100,537,76.099998,84,11.9,140,19.799999,'06 - 08,14906043
MANOR MIDDLE,726,100,565,77.800003,104,14.3,144,19.799999,'06 - 08,14906044
EASTERN HILLS MIDDLE,743,100,521,70.099998,94,12.7,139,18.700001,'06 - 08,14906046
PALO ALTO MIDDLE,705,100,499,70.800003,81,11.5,125,17.700001,'06 - 08,14906048
LIBERTY HILL MIDDLE,923,100,437,47.299999,58,6.3000002,118,12.8,'06 - 08,14906049
LIVE OAK RIDGE MIDDLE,673,100,446,66.300003,68,10.1,88,13.1,'06 - 08,14906050
UNION GROVE MIDDLE,932,100,240,25.799999,34,3.5999999,97,10.4,'06 - 08,14906051
AUDIE MURPHY MIDDLE,822,100,394,47.900002,49,6,101,12.3,'06 - 08,14906052
CHARLES E PATTERSON MIDDLE,1056,100,516,48.900002,71,6.6999998,131,12.4,'06 - 08,14906053
ROY J SMITH MIDDLE,1322,100,720,54.5,124,9.3999996,152,11.5,'06 - 08,14906054
EL ALTER LEARNING CENTER,16,55.200001,26,89.699997,1,3.4000001,8,27.6,'01 - 05,14906100
CLIFTON PARK EL,251,44.900002,445,79.599998,54,9.6999998,57,10.2,'PK - 05,14906102
EAST WARD EL,191,41,437,93.800003,67,14.4,73,15.7,'PK - 05,14906103
HARKER HEIGHTS EL,298,41.200001,629,86.900002,187,25.799999,68,9.3999996,'PK - 05,14906105
MEADOWS EL,470,55.799999,386,45.799999,38,4.5,81,9.6000004,'PK - 05,14906108
PEEBLES EL,331,42.299999,693,88.5,400,51.099998,61,7.8000002,'PK - 05,14906109
PERSHING PARK EL,228,36.700001,536,86.300003,279,44.900002,77,12.4,'PK - 05,14906110
SUGAR LOAF EL,210,51.5,348,85.300003,31,7.5999999,50,12.3,'PK - 05,14906111
WEST WARD EL,181,39.299999,444,96.300003,79,17.1,56,12.1,'PK - 05,14906112
BELLAIRE EL,241,40.299999,497,83.099998,53,8.8999996,80,13.4,'PK - 05,14906113
NOLANVILLE EL,313,50.400002,344,55.400002,35,5.5999999,108,17.4,'EE - 05,14906115
CLARKE EL,92,16,415,72,44,7.5999999,55,9.5,'PK - 03,14906116
HAY BRANCH EL,299,44.400002,599,89,29,4.3000002,90,13.4,'PK - 05,14906119
WILLOW SPRINGS EL,410,40.799999,800,79.5,78,7.8000002,105,10.4,'PK - 05,14906120
MOUNTAIN VIEW EL,444,47.099998,396,42,70,7.4000001,121,12.8,'EE - 05,14906121
REECES CREEK EL,395,43.299999,726,79.5,103,11.3,106,11.6,'PK - 05,14906122
CLEAR CREEK EL,218,31.200001,555,79.5,43,6.1999998,52,7.4000001,'PK - 05,14906123
CEDAR VALLEY EL,328,43.400002,521,68.900002,82,10.8,62,8.1999998,'PK - 05,14906124
BROOKHAVEN EL,256,40.099998,539,84.5,45,7.0999999,72,11.3,'EE - 05,14906125
VENABLE VILLAGE EL,226,38.5,414,70.5,48,8.1999998,66,11.2,'EE - 05,14906126
TRIMMIER EL,363,43.400002,653,78,488,58.299999,144,17.200001,'EE - 05,14906127
MONTAGUE VILLAGE EL,210,33.200001,371,58.599998,24,3.8,90,14.2,'PK - 05,14906128
MAXDALE EL,274,39.799999,519,75.400002,59,8.6000004,90,13.1,'EE - 05,14906129
IRA CROSS JR EL,307,41.5,635,85.800003,68,9.1999998,70,9.5,'PK - 05,14906130
IDUMA EL,393,45.400002,616,71.199997,69,8,98,11.3,'PK - 05,14906131
OVETA CULP HOBBY EL,88,12.6,450,64.699997,48,6.9000001,77,11.1,'EE - 03,14906132
TIMBER RIDGE EL,544,50.099998,527,48.599998,52,4.8000002,101,9.3000002,'PK - 05,14906133
SAEGERT EL,369,40.299999,579,63.200001,67,7.3000002,109,11.9,'EE - 05,14906135
SKIPCHA EL,529,45.5,457,39.299999,56,4.8000002,132,11.4,'PK - 05,14906136
RICHARD E CAVAZOS EL,291,45.099998,426,66,65,10.1,92,14.3,'EE - 05,14906137
HAYNES EL,463,43.299999,687,64.300003,71,6.5999999,91,8.5,'PK - 05,14906138
DR JOSEPH A FOWLER EL,505,44.099998,705,61.5,89,7.8000002,96,8.3999996,'PK - 05,14906139
ALICE W DOUSE EL,442,44.5,504,50.799999,72,7.3000002,101,10.2,'PK - 05,14906140
ROGERS H S,267,100,121,45.299999,5,1.9,30,11.2,'09 - 12,14907001
ROGERS MIDDLE,206,100,98,47.599998,6,2.9000001,12,5.8000002,'06 - 08,14907041
BELL COUNTY DAEP,1,100,1,100,0,0,0,0,'09 - 09,14907043
ROGERS EL,171,43.5,228,58,31,7.9000001,29,7.4000001,'EE - 05,14907102
SALADO H S,579,100,103,17.799999,18,3.0999999,39,6.6999998,'09 - 12,14908001
BELL COUNTY DAEP,1,100,1,100,0,0,1,100,'09 - 09,14908005
SALADO J H,479,100,135,28.200001,20,4.1999998,29,6.0999999,'06 - 08,14908042
THOMAS ARNOLD EL,441,49.599998,296,33.299999,60,6.6999998,60,6.6999998,'EE - 05,14908102
TEMPLE H S,2197,100,1282,58.400002,167,7.5999999,258,11.7,'09 - 12,14909002
WHEATLEY ALTERNATIVE EDUCATION CEN,30,100,23,76.699997,1,3.3,11,36.700001,'05 - 11,14909005
FRED W EDWARDS ACADEMY AEC,84,100,55,65.5,4,4.8000002,5,6,'09 - 12,14909008
LAMAR MIDDLE,558,100,427,76.5,48,8.6000004,90,16.1,'06 - 08,14909041
TRAVIS SCIENCE ACADEMY,715,100,527,73.699997,103,14.4,97,13.6,'06 - 08,14909042
BONHAM MIDDLE,666,100,462,69.400002,64,9.6000004,106,15.9,'06 - 08,14909044
MERIDITH-DUNBAR EARLY CHILDHOOD AC,0,0,539,98.900002,103,18.9,45,8.3000002,'EE - PK,14909101
CATER EL,170,48.599998,265,75.699997,14,4,38,10.9,'KG - 05,14909102
JEFFERSON EL,292,51.400002,429,75.5,18,3.2,61,10.7,'KG - 05,14909107
SCOTT EL,256,53.299999,354,73.800003,17,3.5,57,11.9,'KG - 05,14909110
THORNTON EL,376,51.099998,551,74.900002,236,32.099998,62,8.3999996,'KG - 05,14909111
WESTERN HILLS EL,197,47.700001,309,74.800003,8,1.9,58,14,'KG - 05,14909114
RAYE-ALLEN EL,227,50.400002,359,79.800003,14,3.0999999,60,13.3,'EE - 05,14909116
KENNEDY-POWELL EL,243,50.200001,309,63.799999,11,2.3,40,8.3000002,'KG - 05,14909117
HECTOR P GARCIA EL,213,50.5,370,87.699997,247,58.5,37,8.8000002,'KG - 05,14909118
TROY H S,448,100,200,44.599998,7,1.6,56,12.5,'09 - 12,14910001
RAYMOND MAYS MIDDLE,352,100,167,47.400002,15,4.3000002,49,13.9,'06 - 08,14910041
TROY EL,370,80.400002,251,54.599998,19,4.0999999,59,12.8,'02 - 05,14910101
EDNA BIGHAM MAYS EL,0,0,170,60.900002,15,5.4000001,37,13.3,'EE - 01,14910103
POR VIDA ACADEMY CHARTER H S,123,100,118,95.900002,5,4.0999999,15,12.2,'09 - 12,15801001
CORPUS CHRISTI COLLEGE PREP H S,46,100,32,69.599998,0,0,5,10.9,'09 - 12,15801002
CESAR E CHAVEZ ACADEMY,59,100,46,78,0,0,3,5.0999999,'09 - 12,15801003
GEORGE GERVIN ACADEMY,267,29.299999,911,100,178,19.5,58,6.4000001,'PK - 12,15802001
RUTH JONES MCCLENDON MIDDLE,143,100,143,100,9,6.3000002,15,10.5,'06 - 12,15802004
FRANK L MADLA EARLY COLLEGE H S,192,100,154,80.199997,13,6.8000002,6,3.0999999,'09 - 12,15805001
FRANK L MADLA ACCELERATED COLLEGIA,305,64.800003,432,91.699997,60,12.7,32,6.8000002,'PK - 08,15805041
MILTON B LEE ACADEMY OF SCIENCE &,117,100,99,84.599998,2,1.7,11,9.3999996,'09 - 12,15806003
DR PAUL S SAENZ J H,69,100,61,88.400002,6,8.6999998,14,20.299999,'07 - 08,15806041
DR HARMON W KELLEY EL,121,41.900002,271,93.800003,104,36,14,4.8000002,'PK - 06,15806101
DR DAVID C WALKER EL,75,43.099998,168,96.599998,11,6.3000002,13,7.5,'PK - 06,15806106
SOUTHWEST PREPARATORY SCHOOL,41,36.900002,99,89.199997,11,9.8999996,2,1.8,'PK - 05,15807001
SOUTHWEST PREPARATORY SOUTHEAST CA,143,70.099998,182,89.199997,18,8.8000002,29,14.2,'PK - 12,15807002
SOUTHWEST PREPARATORY SCHOOL-NORTH,239,100,193,80.800003,29,12.1,27,11.3,'06 - 12,15807004
NEW DIRECTIONS,116,100,104,89.699997,10,8.6000004,26,22.4,'06 - 12,15807005
SOUTHWEST PREP NORTHWEST EL,46,46,95,95,31,31,6,6,'PK - 05,15807101
SEGUIN EL,89,41.799999,139,65.300003,6,2.8,17,8,'PK - 07,15807102
JHW INSPIRE ACADEMY - AFTON OAKS,138,100,138,100,8,5.8000002,59,42.799999,'06 - 12,15808001
JHW INSPIRE ACADEMY - HAYS COUNTY,48,100,48,100,1,2.0999999,8,16.700001,'06 - 12,15808003
JHW INSPIRE ACADEMY - ROCKDALE,52,100,52,100,3,5.8000002,21,40.400002,'07 - 11,15808007
ANNE FRANK INSPIRE ACADEMY,332,82,71,17.5,0,0,48,11.9,'KG - 12,15808009
JHW INSPIRE ACADEMY - MERIDELL,101,100,101,100,0,0,35,34.700001,'05 - 12,15808010
JHW INSPIRE ACADEMY - WILLIAMS HOU,32,94.099998,34,100,0,0,7,20.6,'01 - 11,15808011
JHW INSPIRE ACADEMY - LEGACY RANCH,40,70.199997,57,100,4,7,8,14,'KG - 10,15808012
JHW INSPIRE ACADEMY - BELL COUNTY,28,100,28,100,0,0,8,28.6,'07 - 11,15808014
BEXAR COUNTY ACADEMY,151,43.299999,328,94,76,21.799999,33,9.5,'PK - 08,15809101
POSITIVE SOLUTIONS CHARTER,131,100,109,83.199997,3,2.3,14,10.7,'09 - 12,15814001
HERITAGE ACADEMY OF WINDCREST,51,25.799999,175,88.400002,12,6.0999999,24,12.1,'PK - 04,15815001
HERITAGE ACADEMY OF DEL RIO,143,100,73,51,81,56.599998,6,4.1999998,'09 - 12,15815041
HERITAGE ACADEMY OF DEL RIO MIDDLE,203,100,107,52.700001,123,60.599998,7,3.4000001,'04 - 08,15815042
HERITAGE ACADEMY,40,100,30,75,2,5,6,15,'07 - 08,15815101
HERITAGE ACADEMY OF SAN ANTONIO,51,100,42,82.400002,4,7.8000002,3,5.9000001,'05 - 06,15815104
JUBILEE SAN ANTONIO,906,81.800003,895,80.800003,130,11.7,90,8.1000004,'KG - 12,15822001
JUBILEE HIGHLAND HILLS,615,60.400002,831,81.599998,130,12.8,66,6.5,'PK - 08,15822002
JUBILEE - LAKE VIEW UNIVERSITY PRE,378,67.400002,468,83.400002,108,19.299999,48,8.6000004,'PK - 12,15822004
JUBILEE HIGHLAND PARK,183,58.700001,252,80.800003,9,2.9000001,19,6.0999999,'PK - 08,15822005
JUBILEE KINGSVILLE,184,70.199997,193,73.699997,10,3.8,35,13.4,'PK - 08,15822006
JUBILEE LIVING WAY,142,41.200001,245,71,235,68.099998,12,3.5,'PK - 05,15822007
JUBILEE HARLINGEN,138,48.900002,183,64.900002,67,23.799999,20,7.0999999,'PK - 07,15822008
JUBILEE WELLS BRANCH,504,63.400002,329,41.400002,108,13.6,53,6.6999998,'PK - 09,15822009
JUBILEE BROWNSVILLE,947,89.599998,651,61.599998,396,37.5,61,5.8000002,'PK - 12,15822010
JUBILEE LEADERSHIP ACADEMY,92,42.400002,168,77.400002,123,56.700001,8,3.7,'PK - 06,15822011
LIGHTHOUSE CHARTER SCHOOL - B CAMP,191,84.5,199,88.099998,50,22.1,19,8.3999996,'02 - 08,15825001
LIGHTHOUSE CHARTER SCHOOL,0,0,94,88.699997,34,32.099998,2,1.9,'PK - 01,15825101
SCHOOL OF SCIENCE AND TECHNOLOGY,457,100,237,51.900002,38,8.3000002,33,7.1999998,'06 - 12,15827001
SCHOOL OF SCIENCE AND TECHNOLOGY -,298,65.800003,213,47,48,10.6,46,10.2,'KG - 08,15827002
SCHOOL OF SCIENCE AND TECHNOLOGY H,332,60.299999,340,61.700001,103,18.700001,33,6,'PK - 08,15827003
SCHOOL OF SCIENCE AND TECHNOLOGY E,183,46.900002,168,43.099998,125,32.099998,19,4.9000001,'PK - 06,15827004
HARMONY SCIENCE ACAD (SAN ANTONIO),785,100,551,70.199997,106,13.5,80,10.2,'06 - 12,15828001
HARMONY SCHOOL OF INNOVATION - SAN,321,65,430,87,62,12.6,45,9.1000004,'PK - 08,15828002
HARMONY SCIENCE ACADEMY - LAREDO,643,100,567,88.199997,294,45.700001,40,6.1999998,'06 - 08,15828003
HARMONY SCHOOL OF INNOVATION - LAR,327,50.200001,508,78,339,52.099998,43,6.5999999,'KG - 05,15828004
HARMONY SCIENCE ACADEMY - BROWNSVI,337,65.800003,468,91.400002,258,50.400002,34,6.5999999,'PK - 08,15828005
HARMONY SCHOOL OF EXCELLENCE - SAN,283,54.299999,385,73.900002,99,19,41,7.9000001,'PK - 05,15828006
HARMONY SCHOOL OF INNOVATION - BRO,482,100,420,87.099998,152,31.5,38,7.9000001,'06 - 12,15828007
HARMONY SCHOOL OF EXCELLENCE - LAR,424,100,344,81.099998,132,31.1,34,8,'09 - 12,15828008
BROOKS ACADEMY OF SCIENCE AND ENGI,1380,81.300003,1345,79.199997,139,8.1999998,122,7.1999998,'PK - 12,15830001
BROOKS COLLEGIATE ACADEMY,913,70,809,62,112,8.6000004,88,6.6999998,'PK - 11,15830101
BROOKS ACADEMY LONESTAR,46,51.099998,72,80,2,2.2,3,3.3,'KG - 05,15830102
BROOKS ACADEMY OAKS,74,32.200001,137,59.599998,35,15.2,9,3.9000001,'PK - 05,15830103
SCHOOL OF SCIENCE AND TECHNOLOGY D,340,59.599998,370,64.900002,81,14.2,40,7,'PK - 08,15831001
SCHOOL OF SCIENCE AND TECHNOLOGY C,752,63.299999,775,65.199997,82,6.9000001,110,9.3000002,'PK - 12,15831002
SCHOOL OF SCIENCE AND TECHNOLOGY A,237,69.5,249,73,86,25.200001,18,5.3000002,'KG - 08,15831003
SCHOOL OF SCIENCE AND TECHNOLOGY N,80,49.099998,52,31.9,15,9.1999998,17,10.4,'PK - 06,15831004
SCHOOL OF SCIENCE AND TECHNOLOGY S,31,26.299999,94,79.699997,30,25.4,4,3.4000001,'PK - 06,15831005
HENRY FORD ACADEMY ALAMEDA SCHOOL,127,100,67,52.799999,1,0.80000001,8,6.3000002,'09 - 12,15833001
BASIS SAN ANTONIO- SHAVANO CAMPUS,1058,100,63,6,36,3.4000001,8,0.80000001,'06 - 12,15834001
BASIS SAN ANTONIO- PRI NORTH CENTR,382,49.299999,40,5.1999998,123,15.9,19,2.5,'KG - 05,15834002
BASIS SAN ANTONIO PRI- MEDICAL CEN,383,50.099998,39,5.0999999,209,27.4,21,2.7,'KG - 05,15834101
GREAT HEARTS MONTE VISTA,222,49.799999,77,17.299999,9,2,35,7.8000002,'KG - 05,15835001
GREAT HEARTS MONTE VISTA NORTH,476,100,88,18.5,13,2.7,27,5.6999998,'06 - 12,15835002
GREAT HEARTS NORTHERN OAKS,853,70.099998,185,15.2,42,3.5,80,6.5999999,'KG - 10,15835003
GREAT HEARTS IRVING,617,69.699997,117,13.2,77,8.6999998,36,4.0999999,'KG - 10,15835004
GREAT HEARTS WESTERN HILLS,231,39,181,30.6,39,6.5999999,29,4.9000001,'KG - 05,15835005
ELEANOR KOLITZ HEBREW LANGUAGE ACA,205,60.799999,42,12.5,22,6.5,25,7.4000001,'KG - 08,15836001
COMPASS ROSE ACADEMY,193,100,166,86,19,9.8000002,22,11.4,'06 - 08,15838001
ALAMO HEIGHTS H S,1601,100,268,16.700001,55,3.4000001,133,8.3000002,'09 - 12,15901001
ALAMO HEIGHTS J H,1121,100,225,20.1,66,5.9000001,84,7.5,'06 - 08,15901041
CAMBRIDGE EL,514,61.5,193,23.1,85,10.2,56,6.6999998,'01 - 05,15901101
HOWARD EL,0,0,94,23.6,49,12.3,63,15.8,'EE - KG,15901102
WOODRIDGE EL,538,60.700001,176,19.9,58,6.5,60,6.8000002,'01 - 05,15901104
HARLANDALE H S,1817,100,1540,84.800003,247,13.6,192,10.6,'09 - 12,15904001
MCCOLLUM H S,1525,100,1223,80.199997,117,7.6999998,181,11.9,'09 - 12,15904002
HAC DAEP H S,15,100,15,100,1,6.6999998,1,6.6999998,'09 - 11,15904003
FRANK M TEJEDA ACADEMY,149,100,145,97.300003,21,14.1,18,12.1,'09 - 12,15904004
BEXAR CO J J A E P,11,100,11,100,0,0,2,18.200001,'07 - 11,15904007
HARLANDALE ALTERNATIVE CENTER BOOT,9,100,9,100,0,0,2,22.200001,'09 - 11,15904008
FENLEY TRANSITIONAL H S,9,100,8,88.900002,0,0,9,100,'09 - 12,15904010
HARLANDALE ISD STEM ECHS-ALAMO COL,359,100,247,68.800003,2,0.60000002,3,0.80000001,'09 - 12,15904011
HARLANDALE MIDDLE,837,100,745,89,129,15.4,69,8.1999998,'06 - 08,15904041
A LEAL JR MIDDLE,771,100,707,91.699997,196,25.4,79,10.2,'06 - 08,15904042
TERRELL WELLS MIDDLE,708,100,629,88.800003,101,14.3,84,11.9,'06 - 08,15904043
KINGSBOROUGH MIDDLE,654,100,573,87.599998,85,13,88,13.5,'06 - 08,15904044
HAC DAEP MIDDLE,7,100,7,100,1,14.3,0,0,'07 - 08,15904045
HARLANDALE ALTERNATIVE CENTER BOOT,3,100,3,100,1,33.299999,1,33.299999,'08 - 08,15904046
FENLEY TRANSITIONAL MIDDLE,5,100,4,80,0,0,5,100,'06 - 08,15904047
TEJEDA JUNIOR ACADEMY,31,100,31,100,2,6.5,2,6.5,'08 - 08,15904048
CARROLL BELL EL,226,46.299999,404,82.800003,116,23.799999,44,9,'PK - 05,15904101
BELLAIRE EL,266,43,531,85.900002,150,24.299999,52,8.3999996,'EE - 05,15904102
COLLIER EL,226,46,451,91.900002,89,18.1,41,8.3999996,'PK - 05,15904103
COLUMBIA HEIGHTS EL,215,51.900002,382,92.300003,137,33.099998,41,9.8999996,'PK - 05,15904104
STONEWALL/FLANDERS EL,254,35.5,691,96.599998,171,23.9,72,10.1,'PK - 05,15904105
V M ADAMS EL,333,44.900002,714,96.400002,153,20.6,52,7,'PK - 05,15904106
GILLETTE EL,274,46.599998,538,91.5,165,28.1,64,10.9,'PK - 05,15904107
H W SCHULZE EL,352,48,645,87.900002,68,9.3000002,59,8,'PK - 05,15904108
MORRILL EL,193,43.799999,393,89.099998,107,24.299999,32,7.3000002,'PK - 05,15904109
RAYBURN EL,193,46,367,87.400002,81,19.299999,47,11.2,'EE - 05,15904110
VESTAL EL,192,44.799999,398,92.800003,115,26.799999,30,7,'PK - 05,15904113
WRIGHT EL,238,47.900002,459,92.400002,71,14.3,49,9.8999996,'PK - 05,15904114
JEWEL C WIETZEL CENTER,27,100,7,25.9,0,0,27,100,'08 - 12,15904115
E H GILBERT EL,214,38.299999,508,90.900002,89,15.9,38,6.8000002,'PK - 05,15904116
COLLIER DAEP,1,100,1,100,0,0,0,0,'05 - 05,15904117
JOHN F KENNEDY H S,1141,100,1050,92,114,10,130,11.4,'09 - 12,15905002
MEMORIAL H S,1267,100,1196,94.400002,198,15.6,157,12.4,'09 - 12,15905003
BEXAR CO J J A E P,2,100,2,100,0,0,0,0,'09 - 11,15905010
STEAM AT THE FINE ARTS ACADEMY,124,100,112,90.300003,28,22.6,12,9.6999998,'09 - 09,15905015
BRENTWOOD MIDDLE,607,100,578,95.199997,93,15.3,74,12.2,'06 - 08,15905041
ALTERNATIVE CENTER,28,100,25,89.300003,2,7.0999999,7,25,'06 - 12,15905042
E T WRENN MIDDLE,621,100,587,94.5,150,24.200001,77,12.4,'06 - 08,15905044
GUS GARCIA MIDDLE,735,100,693,94.300003,212,28.799999,87,11.8,'06 - 08,15905046
ROY CISNEROS EL,257,47.799999,502,93.300003,152,28.299999,42,7.8000002,'PK - 05,15905104
ALONSO S PERALES EL,207,48.900002,406,96,58,13.7,31,7.3000002,'PK - 05,15905106
GARDENDALE EL,208,46,418,92.5,79,17.5,32,7.0999999,'PK - 05,15905108
L B JOHNSON EL,249,51.200001,464,95.5,115,23.700001,40,8.1999998,'PK - 05,15905109
LAS PALMAS EL,225,54,401,96.199997,84,20.1,49,11.8,'PK - 05,15905110
